tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-08-01,71,27,22,115,18,115,O3,TIDAK SEHAT,DKI5
2019-08-02,76,28,22,96,20,96,O3,SEDANG,DKI5
2019-08-03,77,28,20,92,19,92,O3,SEDANG,DKI5
2019-08-04,71,27,18,80,17,80,O3,SEDANG,DKI3
2019-08-05,64,28,0,117,22,117,O3,TIDAK SEHAT,DKI4
2019-08-06,66,29,20,140,18,140,O3,TIDAK SEHAT,DKI3
2019-08-07,79,28,22,127,14,127,O3,TIDAK SEHAT,DKI3
2019-08-08,98,22,24,146,21,146,O3,TIDAK SEHAT,DKI5
2019-08-09,74,29,21,119,18,119,O3,TIDAK SEHAT,DKI3
2019-08-10,82,29,24,100,18,100,O3,SEDANG,DKI3
2019-08-11,68,27,21,72,9,72,O3,SEDANG,DKI3
2019-08-12,71,27,17,73,10,73,O3,SEDANG,DKI3
2019-08-13,70,29,21,57,10,70,PM10,SEDANG,DKI2
2019-08-14,67,28,19,69,18,69,O3,SEDANG,DKI5
2019-08-15,72,28,22,102,17,102,O3,TIDAK SEHAT,DKI4
2019-08-16,92,28,48,207,19,207,O3,SANGAT TIDAK SEHAT,DKI5
2019-08-17,71,27,22,174,14,174,O3,TIDAK SEHAT,DKI5
2019-08-18,69,27,25,108,10,108,O3,TIDAK SEHAT,DKI5
2019-08-19,71,29,25,185,19,185,O3,TIDAK SEHAT,DKI4
2019-08-20,75,31,23,171,18,171,O3,TIDAK SEHAT,DKI5
2019-08-21,70,30,20,76,11,76,O3,SEDANG,DKI3
2019-08-22,70,21,20,88,14,88,O3,SEDANG,DKI5
2019-08-23,81,28,29,201,18,201,O3,SANGAT TIDAK SEHAT,DKI5
2019-08-24,77,28,22,171,19,171,O3,TIDAK SEHAT,DKI5
2019-08-25,66,29,17,128,12,128,O3,TIDAK SEHAT,DKI5
2019-08-26,78,30,22,184,16,184,O3,TIDAK SEHAT,DKI5
2019-08-27,79,35,24,149,22,149,O3,TIDAK SEHAT,DKI5
2019-08-28,69,27,28,108,17,108,O3,TIDAK SEHAT,DKI5
2019-08-29,76,28,28,132,14,132,O3,TIDAK SEHAT,DKI5
2019-08-30,72,30,22,96,12,96,O3,SEDANG,DKI5
2019-08-31,76,29,30,78,15,78,O3,SEDANG,DKI3
