tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-04-01,68,21,37,167,20,167,O3,TIDAK SEHAT,DKI5
2019-04-02,72,21,49,101,15,101,O3,TIDAK SEHAT,DKI5
2019-04-03,69,21,44,146,18,146,O3,TIDAK SEHAT,DKI5
2019-04-04,61,21,30,172,17,172,O3,TIDAK SEHAT,DKI5
2019-04-05,59,25,25,83,18,83,O3,SEDANG,DKI5
2019-04-06,74,21,38,195,23,195,O3,TIDAK SEHAT,DKI5
2019-04-07,72,21,41,243,13,243,O3,SANGAT TIDAK SEHAT,DKI5
2019-04-08,57,22,24,235,17,235,O3,SANGAT TIDAK SEHAT,DKI5
2019-04-09,72,25,27,127,18,127,O3,TIDAK SEHAT,DKI3
2019-04-10,82,25,32,199,27,199,O3,TIDAK SEHAT,DKI3
2019-04-11,69,23,23,153,17,153,O3,TIDAK SEHAT,DKI3
2019-04-12,55,22,38,78,10,78,O3,SEDANG,DKI2
2019-04-13,55,21,42,62,10,62,O3,SEDANG,DKI2
2019-04-14,45,22,37,112,14,112,O3,TIDAK SEHAT,DKI3
2019-04-15,64,22,39,122,23,122,O3,TIDAK SEHAT,DKI3
2019-04-16,62,22,43,119,16,119,O3,TIDAK SEHAT,DKI5
2019-04-17,69,22,39,80,16,80,O3,SEDANG,DKI4
2019-04-18,73,21,26,111,16,111,O3,TIDAK SEHAT,DKI3
2019-04-19,60,22,21,42,9,60,PM10,SEDANG,DKI4
2019-04-20,33,21,16,105,20,105,O3,TIDAK SEHAT,DKI3
2019-04-21,60,22,27,110,16,110,O3,TIDAK SEHAT,DKI3
2019-04-22,60,23,24,63,9,63,O3,SEDANG,DKI3
2019-04-23,63,24,18,73,10,73,O3,SEDANG,DKI3
2019-04-24,57,22,20,72,15,72,O3,SEDANG,DKI3
2019-04-25,67,22,45,85,12,85,O3,SEDANG,DKI3
2019-04-26,42,21,22,124,22,124,O3,TIDAK SEHAT,DKI3
2019-04-27,55,21,38,90,11,90,O3,SEDANG,DKI3
2019-04-28,65,22,46,78,11,78,O3,SEDANG,DKI5
2019-04-29,56,22,35,130,19,130,O3,TIDAK SEHAT,DKI3
2019-04-30,59,22,29,111,21,111,O3,TIDAK SEHAT,DKI3
