tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-12-01,47,75,43,28,45,75,PM25,SEDANG,DKI3
2020-12-02,51,72,43,46,48,72,PM25,SEDANG,DKI3
2020-12-03,42,54,43,67,68,68,O3,SEDANG,DKI2
2020-12-04,46,64,50,56,52,64,PM25,SEDANG,DKI3
2020-12-05,31,42,46,48,34,48,CO,BAIK,DKI5
2020-12-06,35,52,46,26,34,52,PM25,SEDANG,DKI2
2020-12-07,25,42,44,34,38,44,SO2,BAIK,DKI3
2020-12-08,37,52,44,34,39,52,PM25,SEDANG,DKI1
2020-12-09,34,46,44,28,42,46,PM25,BAIK,DKI1
2020-12-10,33,48,46,36,32,48,PM25,BAIK,DKI1
2020-12-11,36,55,51,35,43,55,PM25,SEDANG,DKI3
2020-12-12,38,51,51,34,46,51,PM25,SEDANG,DKI3
2020-12-13,29,46,23,33,40,46,PM25,BAIK,DKI2
2020-12-14,27,48,22,40,54,54,O3,SEDANG,DKI2
2020-12-15,45,75,21,31,47,75,PM25,SEDANG,DKI3
2020-12-16,32,56,21,28,43,56,PM25,SEDANG,DKI3
2020-12-17,29,46,22,39,45,46,PM25,BAIK,DKI2
2020-12-18,32,42,22,38,46,46,O3,BAIK,DKI2
2020-12-19,39,53,22,29,39,53,PM25,SEDANG,DKI3
2020-12-20,38,55,23,25,39,55,PM25,SEDANG,DKI2
2020-12-21,25,41,21,18,33,41,PM25,BAIK,DKI4
2020-12-22,40,61,24,39,45,61,PM25,SEDANG,DKI3
2020-12-23,68,106,26,43,53,106,PM25,TIDAK SEHAT,DKI3
2020-12-24,52,69,28,38,62,69,PM25,SEDANG,DKI3
2020-12-25,39,53,23,34,31,53,PM25,SEDANG,DKI3
2020-12-26,37,52,26,33,46,52,PM25,SEDANG,DKI3
2020-12-27,44,59,26,44,48,59,PM25,SEDANG,DKI3
2020-12-28,45,57,27,35,53,57,PM25,SEDANG,DKI3
2020-12-29,26,45,23,27,45,45,PM25,BAIK,DKI2
2020-12-30,39,40,22,21,54,54,O3,SEDANG,DKI2
2020-12-31,41,52,25,27,64,64,O3,SEDANG,DKI2
