tanggal,pm10,so2,co,o3,no2,max,categori,lokasi_spku,
2019-02-01,61,20,47,93,12,93,O3,SEDANG,DKI1
2019-02-02,61,37,47,79,14,79,O3,SEDANG,DKI3
2019-02-03,64,26,34,95,13,95,O3,SEDANG,DKI3
2019-02-04,56,27,27,86,10,86,O3,SEDANG,DKI3
2019-02-05,57,20,36,80,10,80,O3,SEDANG,DKI3
2019-02-06,52,26,20,75,13,75,O3,SEDANG,DKI3
2019-02-07,70,39,34,65,19,70,PM10,SEDANG,DKI2
2019-02-08,63,44,23,132,18,132,O3,TIDAK SEHAT,DKI1
2019-02-09,59,24,25,144,22,144,O3,TIDAK SEHAT,DKI1
2019-02-10,59,23,28,81,17,81,O3,SEDANG,DKI3
2019-02-11,37,19,19,71,16,71,O3,SEDANG,DKI3
2019-02-12,56,34,36,94,17,94,O3,SEDANG,DKI3
2019-02-13,67,26,43,71,18,71,O3,SEDANG,DKI3
2019-02-14,73,35,39,91,17,91,O3,SEDANG,DKI3
2019-02-15,54,23,19,89,14,89,O3,SEDANG,DKI3
2019-02-16,42,21,15,111,12,111,O3,TIDAK SEHAT,DKI3
2019-02-17,55,20,20,79,12,79,O3,SEDANG,DKI3
2019-02-18,51,23,31,88,22,88,O3,SEDANG,DKI3
2019-02-19,72,26,31,123,21,123,O3,TIDAK SEHAT,DKI5
2019-02-20,69,24,41,70,23,70,O3,SEDANG,DKI4
2019-02-21,69,26,29,86,18,86,O3,SEDANG,DKI3
2019-02-22,60,34,34,77,19,77,O3,SEDANG,DKI3
2019-02-23,42,22,24,102,15,102,O3,TIDAK SEHAT,DKI5
2019-02-24,57,26,29,88,14,88,O3,SEDANG,DKI3
2019-02-25,59,28,32,115,12,115,O3,TIDAK SEHAT,DKI3
2019-02-26,61,29,25,88,14,88,O3,SEDANG,DKI3
2019-02-27,64,22,24,67,17,67,O3,SEDANG,DKI3
2019-02-28,56,21,22,98,13,98,O3,SEDANG,DKI5
