tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-02-01,57,30,39,73,14,73,O3,SEDANG,DKI5
2020-02-02,52,30,35,64,12,64,O3,SEDANG,DKI5
2020-02-03,59,30,50,46,15,59,PM10,SEDANG,DKI4
2020-02-04,43,30,53,51,14,53,CO,SEDANG,DKI3
2020-02-05,67,30,57,52,12,67,PM10,SEDANG,DKI3
2020-02-06,63,30,26,50,18,63,PM10,SEDANG,DKI2
2020-02-07,55,28,28,50,16,55,PM10,SEDANG,DKI5
2020-02-08,74,30,24,67,12,74,PM10,SEDANG,DKI4
2020-02-09,48,30,35,50,12,50,O3,BAIK,DKI5
2020-02-10,51,31,27,91,15,91,O3,SEDANG,DKI2
2020-02-11,75,32,26,98,16,98,O3,SEDANG,DKI4
2020-02-12,65,35,19,126,19,126,O3,TIDAK SEHAT,DKI3
2020-02-13,63,33,23,83,20,83,O3,SEDANG,DKI5
2020-02-14,81,33,36,60,18,81,PM10,SEDANG,DKI4
2020-02-15,74,26,51,191,17,191,O3,TIDAK SEHAT,DKI4
2020-02-16,70,23,35,118,16,118,O3,TIDAK SEHAT,DKI4
2020-02-17,43,21,30,170,12,170,O3,TIDAK SEHAT,DKI4
2020-02-18,62,30,55,182,15,182,O3,TIDAK SEHAT,DKI5
2020-02-19,54,22,28,62,11,62,O3,SEDANG,DKI5
2020-02-20,43,20,21,73,13,73,O3,SEDANG,DKI5
2020-02-21,35,20,25,80,14,80,O3,SEDANG,DKI4
2020-02-22,58,19,75,85,13,85,O3,SEDANG,DKI4
2020-02-23,39,15,37,88,9,88,O3,SEDANG,DKI5
2020-02-24,32,19,21,89,9,89,O3,SEDANG,DKI5
2020-02-25,40,19,25,92,13,92,O3,SEDANG,DKI4
2020-02-26,52,19,27,89,13,89,O3,SEDANG,DKI4
2020-02-27,54,18,40,84,13,84,O3,SEDANG,DKI4
2020-02-28,56,21,33,121,16,121,O3,TIDAK SEHAT,DKI5
2020-02-29,64,22,52,144,13,144,O3,TIDAK SEHAT,DKI5
