tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-01-01,29,15,7,71,13,71,O3,SEDANG,DKI2
2019-01-02,24,17,6,79,6,79,O3,SEDANG,DKI2
2019-01-03,23,16,6,65,4,65,O3,SEDANG,DKI2
2019-01-04,42,18,10,64,11,64,O3,SEDANG,DKI2
2019-01-05,54,29,16,51,20,54,PM10,SEDANG,DKI3
2019-01-06,69,34,30,105,27,105,O3,TIDAK SEHAT,DKI2
2019-01-07,71,47,16,132,25,132,O3,TIDAK SEHAT,DKI3
2019-01-08,51,22,25,143,26,143,O3,TIDAK SEHAT,DKI3
2019-01-09,61,22,28,198,21,198,O3,TIDAK SEHAT,DKI1
2019-01-10,59,22,27,128,18,128,O3,TIDAK SEHAT,DKI1
2019-01-11,63,23,28,91,13,91,O3,SEDANG,DKI3
2019-01-12,57,26,24,90,16,90,O3,SEDANG,DKI3
2019-01-13,65,24,28,119,15,119,O3,TIDAK SEHAT,DKI3
2019-01-14,65,25,32,99,18,99,O3,SEDANG,DKI1
2019-01-15,72,27,26,59,13,72,PM10,SEDANG,DKI3
2019-01-16,37,23,19,64,7,64,O3,SEDANG,DKI3
2019-01-17,56,23,23,101,14,101,O3,TIDAK SEHAT,DKI1
2019-01-18,27,23,16,103,13,103,O3,TIDAK SEHAT,DKI1
2019-01-19,44,24,27,127,13,127,O3,TIDAK SEHAT,DKI1
2019-01-20,74,30,39,82,17,82,O3,SEDANG,DKI3
2019-01-21,62,24,22,94,12,94,O3,SEDANG,DKI3
2019-01-22,39,24,23,92,9,92,O3,SEDANG,DKI3
2019-01-23,59,23,37,70,14,70,O3,SEDANG,DKI3
2019-01-24,51,19,20,81,12,81,O3,SEDANG,DKI3
2019-01-25,32,19,25,74,12,74,O3,SEDANG,DKI3
2019-01-26,63,22,37,118,17,118,O3,TIDAK SEHAT,DKI1
2019-01-27,56,18,49,74,10,74,O3,SEDANG,DKI3
2019-01-28,53,20,34,77,15,77,O3,SEDANG,DKI3
2019-01-29,48,19,33,88,11,88,O3,SEDANG,DKI3
2019-01-30,47,21,32,73,16,73,O3,SEDANG,DKI1
2019-01-31,56,23,22,54,17,56,PM10,SEDANG,DKI3
