tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-01-01,38,58,2,11,65,6,65,O3,SEDANG,DKI2
2021-01-02,58,86,15,22,38,5,86,PM25,SEDANG,DKI3
2021-01-03,64,93,14,20,35,5,93,PM25,SEDANG,DKI3
2021-01-04,30,49,0,9,77,7,77,O3,SEDANG,DKI2
2021-01-05,59,89,15,19,42,7,89,PM25,SEDANG,DKI3
2021-01-06,48,60,0,12,85,14,85,O3,SEDANG,DKI2
2021-01-07,35,50,0,9,72,15,72,O3,SEDANG,DKI2
2021-01-08,38,55,0,11,71,9,71,O3,SEDANG,DKI2
2021-01-09,51,67,12,27,80,12,80,O3,SEDANG,DKI2
2021-01-10,24,39,13,10,59,14,59,O3,SEDANG,DKI2
2021-01-11,0,72,17,15,56,4,72,PM25,SEDANG,DKI3
2021-01-12,27,51,15,7,77,15,77,O3,SEDANG,DKI2
2021-01-13,33,44,13,10,68,7,68,O3,SEDANG,DKI2
2021-01-14,29,78,20,14,40,8,78,PM25,SEDANG,DKI3
2021-01-15,24,82,19,16,64,6,82,PM25,SEDANG,DKI3
2021-01-16,70,92,19,16,60,7,92,PM25,SEDANG,DKI3
2021-01-17,55,75,16,10,93,10,93,O3,SEDANG,DKI2
2021-01-18,35,49,13,5,78,9,78,O3,SEDANG,DKI2
2021-01-19,31,42,11,6,58,9,58,O3,SEDANG,DKI2
2021-01-20,42,45,11,6,72,6,72,O3,SEDANG,DKI2
2021-01-21,46,44,12,9,67,13,67,O3,SEDANG,DKI2
2021-01-22,84,112,20,33,57,10,112,PM25,TIDAK SEHAT,DKI3
2021-01-23,89,126,19,42,64,13,126,PM25,TIDAK SEHAT,DKI3
2021-01-24,64,90,19,31,34,10,90,PM25,SEDANG,DKI3
2021-01-25,62,86,14,26,134,14,134,O3,TIDAK SEHAT,DKI2
2021-01-26,54,79,18,15,50,7,79,PM25,SEDANG,DKI3
2021-01-27,21,29,25,7,63,5,63,O3,SEDANG,DKI2
2021-01-28,28,49,25,10,53,7,53,O3,SEDANG,DKI2
2021-01-29,28,49,26,7,65,9,65,O3,SEDANG,DKI2
2021-01-30,27,39,25,10,64,8,64,O3,SEDANG,DKI2
2021-01-31,38,55,24,11,68,7,68,O3,SEDANG,DKI2
