tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-07-01,74,29,15,94,14,94,O3,SEDANG,DKI5
2020-07-02,79,24,20,71,13,79,PM10,SEDANG,DKI2
2020-07-03,58,27,23,88,14,88,O3,SEDANG,DKI3
2020-07-04,70,23,16,71,14,71,O3,SEDANG,DKI3
2020-07-05,67,24,16,57,12,67,PM10,SEDANG,DKI4
2020-07-06,75,39,16,66,16,75,PM10,SEDANG,DKI2
2020-07-07,57,30,15,63,16,63,O3,SEDANG,DKI5
2020-07-08,69,28,15,90,15,90,O3,SEDANG,DKI5
2020-07-09,60,22,14,102,12,102,O3,TIDAK SEHAT,DKI2
2020-07-10,70,24,21,113,19,113,O3,TIDAK SEHAT,DKI3
2020-07-11,86,23,20,111,16,111,O3,TIDAK SEHAT,DKI3
2020-07-12,68,22,24,79,9,79,O3,SEDANG,DKI5
2020-07-13,68,25,20,71,13,71,O3,SEDANG,DKI3
2020-07-14,69,23,15,71,16,71,O3,SEDANG,DKI2
2020-07-15,63,22,14,51,12,63,PM10,SEDANG,DKI4
2020-07-16,55,27,13,52,11,55,PM10,SEDANG,DKI2
2020-07-17,66,31,17,68,14,68,O3,SEDANG,DKI5
2020-07-18,59,25,17,84,15,84,O3,SEDANG,DKI5
2020-07-19,71,25,21,90,10,90,O3,SEDANG,DKI5
2020-07-20,66,20,14,119,12,119,O3,TIDAK SEHAT,DKI5
2020-07-21,87,24,48,95,14,95,O3,SEDANG,DKI5
2020-07-22,63,23,20,75,15,75,O3,SEDANG,DKI5
2020-07-23,63,25,15,130,11,130,O3,TIDAK SEHAT,DKI5
2020-07-24,67,24,18,98,13,98,O3,SEDANG,DKI5
2020-07-25,69,24,13,92,11,92,O3,SEDANG,DKI5
2020-07-26,62,26,11,79,10,79,O3,SEDANG,DKI3
2020-07-27,67,31,12,89,12,89,O3,SEDANG,DKI5
2020-07-28,71,24,21,160,14,160,O3,TIDAK SEHAT,DKI5
2020-07-29,67,24,17,164,14,164,O3,TIDAK SEHAT,DKI5
2020-07-30,76,24,14,136,14,136,O3,TIDAK SEHAT,DKI3
2020-07-31,68,25,13,115,14,115,O3,TIDAK SEHAT,DKI2
