tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-06-01,63,23,19,104,15,104,O3,TIDAK SEHAT,DKI2
2019-06-02,70,23,23,106,14,106,O3,TIDAK SEHAT,DKI2
2019-06-03,55,23,18,89,10,89,O3,SEDANG,DKI3
2019-06-04,75,24,20,82,11,82,O3,SEDANG,DKI3
2019-06-05,82,25,26,65,13,82,PM10,SEDANG,DKI4
2019-06-06,51,23,11,75,9,75,O3,SEDANG,DKI3
2019-06-07,51,24,11,54,8,54,O3,SEDANG,DKI4
2019-06-08,50,22,13,105,9,105,O3,TIDAK SEHAT,DKI2
2019-06-09,51,23,18,98,15,98,O3,SEDANG,DKI5
2019-06-10,57,23,20,88,16,88,O3,SEDANG,DKI5
2019-06-11,57,24,22,105,22,105,O3,TIDAK SEHAT,DKI5
2019-06-12,68,24,22,108,18,108,O3,TIDAK SEHAT,DKI5
2019-06-13,79,24,25,148,21,148,O3,TIDAK SEHAT,DKI4
2019-06-14,73,25,21,98,16,98,O3,SEDANG,DKI3
2019-06-15,57,24,27,112,24,112,O3,TIDAK SEHAT,DKI3
2019-06-16,66,24,24,107,17,107,O3,TIDAK SEHAT,DKI3
2019-06-17,75,25,24,93,14,93,O3,SEDANG,DKI3
2019-06-18,69,27,20,74,12,74,O3,SEDANG,DKI3
2019-06-19,80,27,19,92,16,92,O3,SEDANG,DKI5
2019-06-20,87,25,34,99,17,99,O3,SEDANG,DKI5
2019-06-21,79,27,23,103,13,103,O3,TIDAK SEHAT,DKI3
2019-06-22,80,28,19,133,15,133,O3,TIDAK SEHAT,DKI4
2019-06-23,72,26,20,134,17,134,O3,TIDAK SEHAT,DKI3
2019-06-24,79,27,20,103,13,103,O3,TIDAK SEHAT,DKI5
2019-06-25,89,26,25,89,14,89,PM10,SEDANG,DKI2
2019-06-26,84,27,21,80,15,84,PM10,SEDANG,DKI2
2019-06-27,81,26,25,142,17,142,O3,TIDAK SEHAT,DKI3
2019-06-28,69,29,28,143,21,143,O3,TIDAK SEHAT,DKI3
2019-06-29,69,29,26,173,17,173,O3,TIDAK SEHAT,DKI2
2019-06-30,64,27,16,83,12,83,O3,SEDANG,DKI3
