tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-03-01,58,19,29,70,15,70,O3,SEDANG,DKI3
2019-03-02,50,51,25,62,12,62,O3,SEDANG,DKI3
2019-03-03,53,23,22,82,15,82,O3,SEDANG,DKI5
2019-03-04,55,22,32,104,22,104,O3,TIDAK SEHAT,DKI3
2019-03-05,47,21,28,83,22,83,O3,SEDANG,DKI5
2019-03-06,54,21,25,60,19,60,O3,SEDANG,DKI3
2019-03-07,55,24,39,112,17,112,O3,TIDAK SEHAT,DKI5
2019-03-08,78,25,41,155,27,155,O3,TIDAK SEHAT,DKI3
2019-03-09,67,35,29,215,27,215,O3,SANGAT TIDAK SEHAT,DKI5
2019-03-10,60,26,23,164,19,164,O3,TIDAK SEHAT,DKI2
2019-03-11,55,23,20,55,18,55,PM10,SEDANG,DKI2
2019-03-12,41,20,20,51,12,51,O3,SEDANG,DKI3
2019-03-13,50,27,28,122,22,122,O3,TIDAK SEHAT,DKI5
2019-03-14,58,26,52,162,36,162,O3,TIDAK SEHAT,DKI5
2019-03-15,71,29,29,132,35,132,O3,TIDAK SEHAT,DKI5
2019-03-16,60,26,43,128,15,128,O3,TIDAK SEHAT,DKI5
2019-03-17,51,21,18,82,9,82,O3,SEDANG,DKI5
2019-03-18,52,21,18,65,10,65,O3,SEDANG,DKI3
2019-03-19,38,20,18,68,6,68,O3,SEDANG,DKI3
2019-03-20,38,20,16,65,12,65,O3,SEDANG,DKI5
2019-03-21,58,21,21,74,10,74,O3,SEDANG,DKI5
2019-03-22,55,20,24,58,12,58,O3,SEDANG,DKI5
2019-03-23,40,20,15,75,15,75,O3,SEDANG,DKI5
2019-03-24,36,20,9,55,4,55,O3,SEDANG,DKI5
2019-03-25,40,20,14,42,7,42,O3,BAIK,DKI5
2019-03-26,71,21,36,89,16,89,O3,SEDANG,DKI5
2019-03-27,57,22,25,192,15,192,O3,TIDAK SEHAT,DKI5
2019-03-28,56,21,36,130,18,130,O3,TIDAK SEHAT,DKI5
2019-03-29,62,24,34,182,20,182,O3,TIDAK SEHAT,DKI5
2019-03-30,62,24,25,190,16,190,O3,TIDAK SEHAT,DKI5
2019-03-31,62,23,35,194,18,194,O3,TIDAK SEHAT,DKI5
