tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-05-01,53,21,29,80,11,80,O3,SEDANG,DKI5
2019-05-02,48,13,18,29,6,48,PM10,BAIK,DKI3
2019-05-03,50,26,24,99,16,99,O3,SEDANG,DKI3
2019-05-04,72,22,32,92,15,92,O3,SEDANG,DKI3
2019-05-05,59,22,34,91,15,91,O3,SEDANG,DKI5
2019-05-06,52,16,22,93,13,93,O3,SEDANG,DKI3
2019-05-07,71,18,31,89,16,89,O3,SEDANG,DKI3
2019-05-08,77,23,52,132,21,132,O3,TIDAK SEHAT,DKI3
2019-05-09,69,23,32,149,22,149,O3,TIDAK SEHAT,DKI3
2019-05-10,57,22,26,87,16,87,O3,SEDANG,DKI2
2019-05-11,52,21,22,65,13,65,O3,SEDANG,DKI5
2019-05-12,69,22,24,76,12,76,O3,SEDANG,DKI4
