tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-11-01,56,82,38,55,59,82,PM25,SEDANG,DKI3
2020-11-02,49,41,38,38,63,63,O3,SEDANG,DKI2
2020-11-03,54,77,41,84,84,84,CO,SEDANG,DKI2
2020-11-04,54,81,43,146,87,146,CO,TIDAK SEHAT,DKI5
2020-11-05,58,78,41,67,68,78,PM25,SEDANG,DKI2
2020-11-06,80,112,44,64,67,112,PM25,TIDAK SEHAT,DKI3
2020-11-07,65,88,42,85,67,88,PM25,SEDANG,DKI3
2020-11-08,67,90,40,65,60,90,PM25,SEDANG,DKI2
2020-11-09,72,107,43,115,74,115,CO,TIDAK SEHAT,DKI5
2020-11-10,82,104,43,83,79,104,PM25,TIDAK SEHAT,DKI3
2020-11-11,79,100,43,111,99,111,CO,TIDAK SEHAT,DKI5
2020-11-12,61,80,44,69,83,83,O3,SEDANG,DKI3
2020-11-13,57,74,44,50,58,74,PM25,SEDANG,DKI3
2020-11-14,67,91,46,135,88,135,CO,TIDAK SEHAT,DKI5
2020-11-15,59,73,44,55,65,73,PM25,SEDANG,DKI1
2020-11-16,64,87,48,64,57,87,PM25,SEDANG,DKI3
2020-11-17,60,99,44,88,107,107,O3,TIDAK SEHAT,DKI3
2020-11-18,59,89,53,104,92,104,CO,TIDAK SEHAT,DKI5
2020-11-19,77,98,43,115,98,115,CO,TIDAK SEHAT,DKI5
2020-11-20,62,85,46,55,65,85,PM25,SEDANG,DKI3
2020-11-21,67,82,44,60,63,82,PM25,SEDANG,DKI1
2020-11-22,70,83,42,57,74,83,PM25,SEDANG,DKI2
2020-11-23,69,102,46,69,64,102,PM25,TIDAK SEHAT,DKI3
2020-11-24,68,95,44,71,76,95,PM25,SEDANG,DKI3
2020-11-25,55,74,43,49,80,80,O3,SEDANG,DKI2
2020-11-26,60,76,45,93,104,104,O3,TIDAK SEHAT,DKI2
2020-11-27,51,71,43,78,56,78,CO,SEDANG,DKI4
2020-11-28,54,78,44,84,148,148,O3,TIDAK SEHAT,DKI2
2020-11-29,48,56,43,58,50,58,CO,SEDANG,DKI4
2020-11-30,28,39,42,30,42,42,SO2,BAIK,DKI3
