tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-10-01,73,83,32,73,62,83,PM25,SEDANG,DKI3
2020-10-02,83,89,35,87,79,89,PM25,SEDANG,DKI3
2020-10-03,74,77,32,80,89,89,O3,SEDANG,DKI2
2020-10-04,79,83,33,108,95,108,CO,TIDAK SEHAT,DKI5
2020-10-05,62,64,32,109,128,128,O3,TIDAK SEHAT,DKI2
2020-10-06,64,69,34,103,110,110,O3,TIDAK SEHAT,DKI2
2020-10-07,77,73,33,127,92,127,CO,TIDAK SEHAT,DKI5
2020-10-08,68,74,35,117,109,117,CO,TIDAK SEHAT,DKI5
2020-10-09,74,99,32,105,88,105,CO,TIDAK SEHAT,DKI5
2020-10-10,70,74,32,80,72,80,CO,SEDANG,DKI5
2020-10-11,69,71,32,91,95,95,O3,SEDANG,DKI2
2020-10-12,58,89,34,135,116,135,CO,TIDAK SEHAT,DKI5
2020-10-13,72,105,35,130,94,130,CO,TIDAK SEHAT,DKI5
2020-10-14,81,93,34,115,94,115,CO,TIDAK SEHAT,DKI5
2020-10-15,79,103,35,98,97,103,PM25,TIDAK SEHAT,DKI3
2020-10-16,68,91,35,134,110,134,CO,TIDAK SEHAT,DKI5
2020-10-17,70,80,34,99,99,99,CO,SEDANG,DKI2
2020-10-18,60,82,36,67,71,82,PM25,SEDANG,DKI2
2020-10-19,64,89,35,76,71,89,PM25,SEDANG,DKI2
2020-10-20,63,86,37,77,68,86,PM25,SEDANG,DKI2
2020-10-21,57,85,35,104,99,104,CO,TIDAK SEHAT,DKI4
2020-10-22,53,82,37,57,68,82,PM25,SEDANG,DKI2
2020-10-23,39,65,37,48,43,65,PM25,SEDANG,DKI3
2020-10-24,56,82,38,83,100,100,O3,SEDANG,DKI3
2020-10-25,52,65,39,68,83,83,O3,SEDANG,DKI2
2020-10-26,57,80,41,123,99,123,CO,TIDAK SEHAT,DKI5
2020-10-27,52,69,37,79,98,98,O3,SEDANG,DKI2
2020-10-28,66,86,39,117,82,117,CO,TIDAK SEHAT,DKI5
2020-10-29,57,78,38,88,60,88,CO,SEDANG,DKI4
2020-10-30,63,86,40,49,58,86,PM25,SEDANG,DKI2
2020-10-31,45,59,29,79,67,79,CO,SEDANG,DKI5
