tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-01-01,29,15,7,71,13,71,O3,SEDANG,DKI2
2019-01-02,24,17,6,79,6,79,O3,SEDANG,DKI2
2019-01-03,23,16,6,65,4,65,O3,SEDANG,DKI2
2019-01-04,42,18,10,64,11,64,O3,SEDANG,DKI2
2019-01-05,54,29,16,51,20,54,PM10,SEDANG,DKI3
2019-01-06,69,34,30,105,27,105,O3,TIDAK SEHAT,DKI2
2019-01-07,71,47,16,132,25,132,O3,TIDAK SEHAT,DKI3
2019-01-08,51,22,25,143,26,143,O3,TIDAK SEHAT,DKI3
2019-01-09,61,22,28,198,21,198,O3,TIDAK SEHAT,DKI1
2019-01-10,59,22,27,128,18,128,O3,TIDAK SEHAT,DKI1
2019-01-11,63,23,28,91,13,91,O3,SEDANG,DKI3
2019-01-12,57,26,24,90,16,90,O3,SEDANG,DKI3
2019-01-13,65,24,28,119,15,119,O3,TIDAK SEHAT,DKI3
2019-01-14,65,25,32,99,18,99,O3,SEDANG,DKI1
2019-01-15,72,27,26,59,13,72,PM10,SEDANG,DKI3
2019-01-16,37,23,19,64,7,64,O3,SEDANG,DKI3
2019-01-17,56,23,23,101,14,101,O3,TIDAK SEHAT,DKI1
2019-01-18,27,23,16,103,13,103,O3,TIDAK SEHAT,DKI1
2019-01-19,44,24,27,127,13,127,O3,TIDAK SEHAT,DKI1
2019-01-20,74,30,39,82,17,82,O3,SEDANG,DKI3
2019-01-21,62,24,22,94,12,94,O3,SEDANG,DKI3
2019-01-22,39,24,23,92,9,92,O3,SEDANG,DKI3
2019-01-23,59,23,37,70,14,70,O3,SEDANG,DKI3
2019-01-24,51,19,20,81,12,81,O3,SEDANG,DKI3
2019-01-25,32,19,25,74,12,74,O3,SEDANG,DKI3
2019-01-26,63,22,37,118,17,118,O3,TIDAK SEHAT,DKI1
2019-01-27,56,18,49,74,10,74,O3,SEDANG,DKI3
2019-01-28,53,20,34,77,15,77,O3,SEDANG,DKI3
2019-01-29,48,19,33,88,11,88,O3,SEDANG,DKI3
2019-01-30,47,21,32,73,16,73,O3,SEDANG,DKI1
2019-01-31,56,23,22,54,17,56,PM10,SEDANG,DKI3
2019-02-01,61,20,47,93,12,93,O3,SEDANG,DKI1
2019-02-02,61,37,47,79,14,79,O3,SEDANG,DKI3
2019-02-03,64,26,34,95,13,95,O3,SEDANG,DKI3
2019-02-04,56,27,27,86,10,86,O3,SEDANG,DKI3
2019-02-05,57,20,36,80,10,80,O3,SEDANG,DKI3
2019-02-06,52,26,20,75,13,75,O3,SEDANG,DKI3
2019-02-07,70,39,34,65,19,70,PM10,SEDANG,DKI2
2019-02-08,63,44,23,132,18,132,O3,TIDAK SEHAT,DKI1
2019-02-09,59,24,25,144,22,144,O3,TIDAK SEHAT,DKI1
2019-02-10,59,23,28,81,17,81,O3,SEDANG,DKI3
2019-02-11,37,19,19,71,16,71,O3,SEDANG,DKI3
2019-02-12,56,34,36,94,17,94,O3,SEDANG,DKI3
2019-02-13,67,26,43,71,18,71,O3,SEDANG,DKI3
2019-02-14,73,35,39,91,17,91,O3,SEDANG,DKI3
2019-02-15,54,23,19,89,14,89,O3,SEDANG,DKI3
2019-02-16,42,21,15,111,12,111,O3,TIDAK SEHAT,DKI3
2019-02-17,55,20,20,79,12,79,O3,SEDANG,DKI3
2019-02-18,51,23,31,88,22,88,O3,SEDANG,DKI3
2019-02-19,72,26,31,123,21,123,O3,TIDAK SEHAT,DKI5
2019-02-20,69,24,41,70,23,70,O3,SEDANG,DKI4
2019-02-21,69,26,29,86,18,86,O3,SEDANG,DKI3
2019-02-22,60,34,34,77,19,77,O3,SEDANG,DKI3
2019-02-23,42,22,24,102,15,102,O3,TIDAK SEHAT,DKI5
2019-02-24,57,26,29,88,14,88,O3,SEDANG,DKI3
2019-02-25,59,28,32,115,12,115,O3,TIDAK SEHAT,DKI3
2019-02-26,61,29,25,88,14,88,O3,SEDANG,DKI3
2019-02-27,64,22,24,67,17,67,O3,SEDANG,DKI3
2019-02-28,56,21,22,98,13,98,O3,SEDANG,DKI5
2019-03-01,58,19,29,70,15,70,O3,SEDANG,DKI3
2019-03-02,50,51,25,62,12,62,O3,SEDANG,DKI3
2019-03-03,53,23,22,82,15,82,O3,SEDANG,DKI5
2019-03-04,55,22,32,104,22,104,O3,TIDAK SEHAT,DKI3
2019-03-05,47,21,28,83,22,83,O3,SEDANG,DKI5
2019-03-06,54,21,25,60,19,60,O3,SEDANG,DKI3
2019-03-07,55,24,39,112,17,112,O3,TIDAK SEHAT,DKI5
2019-03-08,78,25,41,155,27,155,O3,TIDAK SEHAT,DKI3
2019-03-09,67,35,29,215,27,215,O3,SANGAT TIDAK SEHAT,DKI5
2019-03-10,60,26,23,164,19,164,O3,TIDAK SEHAT,DKI2
2019-03-11,55,23,20,55,18,55,PM10,SEDANG,DKI2
2019-03-12,41,20,20,51,12,51,O3,SEDANG,DKI3
2019-03-13,50,27,28,122,22,122,O3,TIDAK SEHAT,DKI5
2019-03-14,58,26,52,162,36,162,O3,TIDAK SEHAT,DKI5
2019-03-15,71,29,29,132,35,132,O3,TIDAK SEHAT,DKI5
2019-03-16,60,26,43,128,15,128,O3,TIDAK SEHAT,DKI5
2019-03-17,51,21,18,82,9,82,O3,SEDANG,DKI5
